pyq_id,subject,question_text,reason,candidate_topic_ids
553,DBMS,Explain aggregate and comparison operators of SQL with suitable examples. [7+8] U,No keyword match found,
554,DBMS,a) Explain the different types of database end users. Discuss the main activities of each.,No keyword match found,
559,DBMS,How dHoes a query get processed in query processor? Demonstrate with an example. [7+8],No keyword match found,
560,DBMS,What is the significance of class hierarchies in ER data model? Give illustrations. [15] U,No keyword match found,
561,DBMS,a) What is a view? Discuss its role in database security. s,No keyword match found,
562,DBMS,Differentiate between tuple relational calculus with domain relational calculus. [7+8] e,"Ambiguous matches to multiple topics: Introduction to the Relational Model, Tuple relational calculus, Domain relational calculus",349|357|358
565,DBMS,Describe multi valued dependencies and the normal form associated with it. [15],No keyword match found,
566,DBMS,Discuss about the performance of locking and intention locks. [15] -,No keyword match found,
568,DBMS,Briefly discuss write ahead log protocol for recover0y. [8+7],No keyword match found,
569,DBMS,What is an index? Differentiate between sparse and dense indices. [15] - ---ooOoo--- A M,No keyword match found,
570,DBMS,a) Defi ne DBMS. Compare and contrast DBMS with file system.,No keyword match found,
571,DBMS,How does DBMS provide data abstraction? Explain with a neat diagram. [7+8] U,No keyword match found,
572,DBMS,a) Discuss about class hierarchies and constraints on them in ER Model.,No keyword match found,
573,DBMS,Construct an SER diagram for college admission systems. [8+7],No keyword match found,
574,DBMS,"Consider the followEing schema to write queries in SQL. Suppliers(sid:integer,sname:string,scity:string) Parts(pid:integer,pname:string,pcolour:string) D Catalogue(sid,pid,cost)",No keyword match found,
575,DBMS,Find the part names supplied by suppliers belonging to ‘Vijaz’.,No keyword match found,
576,DBMS,Find the names of the suppliers2 who are supplying at least two parts.,No keyword match found,
577,DBMS,Find the parts which are supplied by only ‘Mohan’.,No keyword match found,
578,DBMS,Find the suppliers who supply every blue part. -,No keyword match found,
579,DBMS,Find the suppliers who supply only blue parts. [3+3+3+3+3],No keyword match found,
582,DBMS,a) Describe the problems related to decomposition.,No keyword match found,
585,DBMS,a) Discuss pin count and dirty bit in buffer management. 0,"Ambiguous matches to multiple topics: Aggregation operators, Buffer management",363|398
586,DBMS,Explain write-ahead log protocol in detail. [8+7] A,No keyword match found,
587,DBMS,"Discuss B+ tree as indexing structure. Bulk load the B+ tree with the following records (key*) format. A page can hold only two data records. Index record can hold two keys. M 44*, 34*, 12*, 35*, 25*, 56*, 7*, 91*, 36*, 87*, 3*, 45*. [15] ---ooOoo---","Ambiguous matches to multiple topics: External Storage and Indexing, B+ Trees",400|408
588,DBMS,Write the applications of DBMS. [3],No keyword match found,
591,DBMS,What is multiple granularity locking? [3],No keyword match found,
593,DBMS,Explain the architecture of Database Management Systems with a neat diagram. [10],No keyword match found,
594,DBMS,a) What are the statements in SQL for destroying and altering tables?,No keyword match found,
596,DBMS,a) Write the aggregate operators in SQL.,No keyword match found,
597,DBMS,Write about complex integrity constraints in SQL. [5+5],"Ambiguous matches to multiple topics: Integrity constraints over relations, Complex integrity constraints in SQL",350|365
599,DBMS,Find the Sailor id’s with age over 20 and who have not reserved a red boat.,No keyword match found,
600,DBMS,Find the names of Sailors who reserved boat 103,No keyword match found,
601,DBMS,Explain tuple relational calculus. [6+4],"Ambiguous matches to multiple topics: Introduction to the Relational Model, Tuple relational calculus",349|357
602,DBMS,a) What are the problems of redundancy? Explain with example.,No keyword match found,
603,DBMS,What is the solution to the problems of redundancy? Explain. [5+5],No keyword match found,
604,DBMS,"What is normal form? Explain normalization using (1NF, 2NF, 3NF) with examples. [10]","Ambiguous matches to multiple topics: First normal form, Second normal form, Third normal form",374|375|376
605,DBMS,a) Explain the properties of transactions.,No keyword match found,
606,DBMS,What are the concurrent control mechanisms without locking? [5+5],No keyword match found,
607,DBMS,a) What is ARIES algorithm? Explain.,No keyword match found,
608,DBMS,Explain media recovery. [5+5] www.manaresults.co.in,No keyword match found,
612,DBMS,Explain about various integrity constraints in relational model. [3],"Ambiguous matches to multiple topics: Data Models, Integrity constraints over relations",340|350
613,DBMS,What are the SQL statements are used to retrieve and modify the database? [2],No keyword match found,
615,DBMS,"σ (r) ii) ∏ ( σ (rXs)) [3] B=25 A,F, C=D",No keyword match found,
617,DBMS,Define Multi valued dependencies and join dependency. [3],No keyword match found,
618,DBMS,Explain Failure with loss of nonvolatile storage. [3],No keyword match found,
621,DBMS,Give an overview of database architecture. [10],No keyword match found,
622,DBMS,a) Give an overview of database languages – DDL and DML.,No keyword match found,
623,DBMS,What are speciality databases? Explain. [5+5],No keyword match found,
625,DBMS,What aggregate operators does SQL support? Explain with examples. [5+5],No keyword match found,
627,DBMS,Explain the following Operators in SQL with examples:,No keyword match found,
629,DBMS,a) What do you mean by scheme refinement? Explain how it can be accomplished?,No keyword match found,
631,DBMS,"a) Compute the closure of the following set of functional dependencies for a relation scheme. R(A,B,C,D,E,F,G,H), F={ ABC, BDEF, ADG,AH} List the candidate keys of R.",No keyword match found,
633,DBMS,a) What is transaction? Explain the properties of transaction.,No keyword match found,
635,DBMS,a) Explain about the Multiple granularity Concurrency Control protocol.,No keyword match found,
636,DBMS,Explain about remote backup system. [5+5],No keyword match found,
637,DBMS,a) Give acomparison of various file organizations.,No keyword match found,
639,DBMS,How does Extendable hashing use a directory of buckets? How does it handles the insert and delete operations? [10] ---ooOoo---,No keyword match found,
640,DBMS,"a) Part A is compulsory which carries 25 marks. Answer all questions in Part A. Part B consists of 5 Units. Answer any one full question from each unit. Each question carries 10 marks and may have a, b, c as sub questions. PART-A (25 Marks) What are five main functions of a database administrator? 2 List and explain the database system applications. 3 Define a trigger. What are the differences between row level and statement level triggers? 2 How are queries expressed in SQL? 3 List the benefits of BCNF and 3NF. 2 Write the Properties of Decompositions. 3 Why is recoverability of schedules desirable? 2 Suppose that there is a database system that never fails. Is a recovery manager required for this system? 3 How is data organized in a hash based index? 2 Give a brief note on Static Hashing. 3 PART -B (50 Marks) What is a partial key? How is it represented in ER diagram? Give an example. Define query. Explain the data manipulation language in detail. 5+5] Explain how to build ER model for university with entities department, instructor, student, and class. Instructors and students belong to one department only. Instructors and students related to a class with many to many relations. Assume suitable attributes. Explain how the ER model can be translated to relations. List and explain the design issues of entity relationship. [5+5] Consider the following schema instructor (ID, name, dept_name), teaches (ID, course_id, sec_id, semester, year), section (course_id, sec_id, semester, year), student (ID, name, dept_name), takes (ID, course_id, sec_id, semester, year, grade) Write the following queries in SQL","Ambiguous matches to multiple topics: Database System Applications, Database design and ER diagrams, Triggers and active databases, Decompositions and associated problems, Third normal form, BCNF, Recoverability, Static Hashing",338|344|366|369|376|377|388|409
641,DBMS,Find the names of the students not registered in any section,No keyword match found,
642,DBMS,Find the names of the instructors not teaching any course,No keyword match found,
643,DBMS,Find the total number of courses taught department wise,No keyword match found,
644,DBMS,Find the total Wuitber of dciived sMUIar wore [10] S,No keyword match found,
645,DBMS,Make a comparison between the tuple relational calculus and domain re calculus. What are nested queries? What is correlation in nested queries? Explain. Discuss how schema refinement through dependency analysis and norma! can improve schemas obtained through ER design. F when it is in INF? Explain. Discuss about log based recovery with immediate update and deferred with suitable examples. ational 5+5] lization Why is a table whose primary key consists of a single attribute automatically in,"Ambiguous matches to multiple topics: Introduction to the Relational Model, Integrity constraints over relations, Tuple relational calculus, Nested queries, Schema refinement, Log-based recovery",349|350|357|362|367|395
646,DBMS,"update When a transaction is rolled back under timestamp ordering, it is assigned a new timestamp. Why can it not simply keep its old timestamp? Give a brief note on Indexed Sequential Access Methods. Make a comparison between the primary index and a secondary index. Where does a DBMS store persistent data? How does it bring data int 545] oO main memory for processing? What DBMS component reads and writes data from main memory, and what is the unit of I/O? ---00000--- www.jntuonline.com","Ambiguous matches to multiple topics: Concurrency control by timestamps, Primary Index, Secondary Index, ISAM",393|404|405|407
647,DBMS,a) Discuss about DDL. 2],No keyword match found,
648,DBMS,Write brief notes on altering tables and views. 3],No keyword match found,
649,DBMS,Describe about outer join. 2),No keyword match found,
652,DBMS,Describe the inclusion dependencies. 3],No keyword match found,
654,DBMS,What is meant by remote backup system? 3],No keyword match found,
655,DBMS,Discuss about primary indexes. 2],No keyword match found,
658,DBMS,State and explain various features of E-R Models. 0,No keyword match found,
659,DBMS,Explain Tuple relational calculus. 0,"Ambiguous matches to multiple topics: Introduction to the Relational Model, Tuple relational calculus",349|357
662,DBMS,Explain fourth normal form and BCNF. 0,"Ambiguous matches to multiple topics: BCNF, Fourth normal form",377|379
663,DBMS,What is meant by concurrency control? 0,No keyword match found,
664,DBMS,Discuss about failure with loss of nonvolatile storage. 0,No keyword match found,
666,DBMS,What are the indexed data structures? Explain any one of them. 0 www. jJntuonline.com --00000--,No keyword match found,
