query,subject,positive_topic,negative_topic,correct_topic_id
Find the suppliers who supply every blue part. -,DBMS,Relational algebra,Reasoning about functional dependencies,356
Find the suppliers who supply only blue parts. [3+3+3+3+3],DBMS,Relational algebra,First normal form,356
a) Discuss the group by clause in SQL with illustrations.,DBMS,Aggregation operators,Secondary Index,363
What is a nested query? Discuss a correlated nested1 query with examples. [7+8] -,DBMS,Nested queries,Heap Files,362
Explain write-ahead log protocol in detail. [8+7] A,DBMS,Log-based recovery,Problems caused by redundancy,395
Explain the architecture of Database Management Systems with a neat diagram. [10],DBMS,Structure of a DBMS,First normal form,343
a) What are the statements in SQL for destroying and altering tables?,DBMS,Destroying/altering tables and views,Log-based recovery,355
What is a primary key and foreign key? [5+5],DBMS,Integrity constraints over relations,Additional features of the ER model,350
Find the Sailor id’s with age over 20 and who have not reserved a red boat.,DBMS,Relational algebra,Second normal form,356
Find the names of Sailors who reserved boat 103,DBMS,Relational algebra,Decompositions and associated problems,356
a) What are the problems of redundancy? Explain with example.,DBMS,Problems caused by redundancy,Minimal covers,368
What is the solution to the problems of redundancy? Explain. [5+5],DBMS,Problems caused by redundancy,Transaction concept,368
a) Explain the properties of transactions.,DBMS,Transaction concept,Multivalued dependencies,381
What are the concurrent control mechanisms without locking? [5+5],DBMS,Concurrency control by timestamps,B+ Trees,393
a) What is ARIES algorithm? Explain.,DBMS,Log-based recovery,Conceptual design with the ER model,395
Explain media recovery. [5+5] www.manaresults.co.in,DBMS,Failure with loss of non-volatile storage,Destroying/altering tables and views,399
Explain Indexed Sequential Access Method. [10],DBMS,ISAM,Tuple relational calculus,407
a) How to represent the strong Entity set and Weak entity set in ER-Model? [2],DBMS,Database design and ER diagrams,Problems caused by redundancy,344
Explain about various integrity constraints in relational model. [3],DBMS,Introduction to the Relational Model,Recoverability,349
What are the SQL statements are used to retrieve and modify the database? [2],DBMS,SQL Queries,Tuple relational calculus,359
"σ (r) ii) ∏ ( σ (rXs)) [3] B=25 A,F, C=D",DBMS,Relational algebra,Triggers and active databases,356
Explain Failure with loss of nonvolatile storage. [3],DBMS,Failure with loss of non-volatile storage,Relationships and Relationship sets,399
What are speciality databases? Explain. [5+5],DBMS,Database System Applications,Locking systems with several lock modes,338
a) What is trigger? Explain how to implement triggers in SQL?,DBMS,Triggers and active databases,Serializability by locks,366
Explain the following Operators in SQL with examples:,DBMS,"UNION, INTERSECT, and EXCEPT",Transaction concept,361
SOME ii) IN iii) EXCEPT v) UNION. [5+5],DBMS,"UNION, INTERSECT, and EXCEPT",B+ Trees,361
a) What do you mean by scheme refinement? Explain how it can be accomplished?,DBMS,Schema refinement,Buffer management,367
"a) Compute the closure of the following set of functional dependencies for a relation scheme. R(A,B,C,D,E,F,G,H), F={ ABC, BDEF, ADG,AH} List the candidate keys of R.",DBMS,Reasoning about functional dependencies,Locking systems with several lock modes,370
a) What is transaction? Explain the properties of transaction.,DBMS,Transaction concept,"Entities, Attributes, and Entity sets",381
Find the names of the students not registered in any section,DBMS,SQL Queries,Complex integrity constraints in SQL,359
Find the names of the instructors not teaching any course,DBMS,SQL Queries,Locking systems with several lock modes,359
Find the total number of courses taught department wise,DBMS,SQL Queries,Recoverability,359
a) Discuss about DDL. 2],DBMS,SQL Queries,Data Models,359
Describe the inclusion dependencies. 3],DBMS,Multivalued dependencies,Serializability,378
Explain the relational database architecture. 0,DBMS,Structure of a DBMS,External Storage and Indexing,343
State and explain various features of E-R Models. 0,DBMS,Database design and ER diagrams,Database System Applications,344
Discuss about failure with loss of nonvolatile storage. 0,DBMS,Failure with loss of non-volatile storage,System log,399
What are the indexed data structures? Explain any one of them. 0 www. jJntuonline.com --00000--,DBMS,External Storage and Indexing,Third normal form,400
