chunk_id,chunk_text,subject,correct_topic_id,correct_topic_name
567,a) Explain buffer management along with page replacement policies for buffer.,DBMS,398,Buffer management
571,How does DBMS provide data abstraction? Explain with a neat diagram. [7+8] U,DBMS,341,Levels of abstraction in a DBMS
572,a) Discuss about class hierarchies and constraints on them in ER Model.,DBMS,344,Database design and ER diagrams
573,Construct an SER diagram for college admission systems. [8+7],DBMS,344,Database design and ER diagrams
574,"Consider the followEing schema to write queries in SQL. Suppliers(sid:integer,sname:string,scity:string) Parts(pid:integer,pname:string,pcolour:string) D Catalogue(sid,pid,cost)",DBMS,359,SQL Queries
582,a) Describe the problems related to decomposition.,DBMS,369,Decompositions and associated problems
583,Discuss fourth normal form with example. 2 [8+7],DBMS,379,Fourth normal form
584,Discuss two phase locking protocol. Explain all its variants with necessary schedules. [15],DBMS,391,Serializability by locks
585,a) Discuss pin count and dirty bit in buffer management. 0,DBMS,398,Buffer management
587,"Discuss B+ tree as indexing structure. Bulk load the B+ tree with the following records (key*) format. A page can hold only two data records. Index record can hold two keys. M 44*, 34*, 12*, 35*, 25*, 56*, 7*, 91*, 36*, 87*, 3*, 45*. [15] ---ooOoo---",DBMS,408,B+ Trees
588,Write the applications of DBMS. [3],DBMS,338,Database System Applications
589,What is join operation in relational algebra? [3],DBMS,356,Relational algebra
590,What are the properties of decompositions? [3],DBMS,369,Decompositions and associated problems
591,What is multiple granularity locking? [3],DBMS,392,Locking systems with several lock modes
592,Give example of B+ trees. [3] PART-B (50 Marks),DBMS,408,B+ Trees
596,a) Write the aggregate operators in SQL.,DBMS,363,Aggregation operators
597,Write about complex integrity constraints in SQL. [5+5],DBMS,365,Complex integrity constraints in SQL
598,"a) Write Relational Algebra Queries for the following ( for Sailors Database) Sailors (sid,sname,rating,age), Boats(bid,bname,color), Reserves(sid,bid,day).",DBMS,356,Relational algebra
601,Explain tuple relational calculus. [6+4],DBMS,357,Tuple relational calculus
604,"What is normal form? Explain normalization using (1NF, 2NF, 3NF) with examples. [10]",DBMS,374,First normal form
610,Explain Extendible hashing. [5+5] ---ooOoo--- www.manaresults.co.in,DBMS,410,Extendible Hashing
614,Let R =(ABC) and S=(DEF) let r(R) and s(S) be relations on schema R and S. Give an expression in the Domain relational calculus that is equivalent to each of the following.,DBMS,344,Database design and ER diagrams
616,What is schema refinement? [2],DBMS,344,Database design and ER diagrams
617,Define Multi valued dependencies and join dependency. [3],DBMS,356,Relational algebra
619,What is primary and secondary indexing? [2],DBMS,405,Secondary Index
620,What is the difference between indexing and hashing? [3] PART-B (50 Marks),DBMS,409,Static Hashing
621,Give an overview of database architecture. [10],DBMS,354,Introduction to views
622,a) Give an overview of database languages – DDL and DML.,DBMS,354,Introduction to views
624,a) Explain the fundamental operations in relational algebra with examples.,DBMS,356,Relational algebra
625,What aggregate operators does SQL support? Explain with examples. [5+5],DBMS,363,Aggregation operators
630,What are the problems caused by redundancy and decomposition of relation? [5+5],DBMS,369,Decompositions and associated problems
632,"Explain 4NF, 5NF normal forms with examples. [5+5]",DBMS,379,Fourth normal form
634,Give an overview of validation based protocol. [5+5],DBMS,354,Introduction to views
635,a) Explain about the Multiple granularity Concurrency Control protocol.,DBMS,392,Locking systems with several lock modes
636,Explain about remote backup system. [5+5],DBMS,399,Failure with loss of non-volatile storage
637,a) Give acomparison of various file organizations.,DBMS,400,External Storage and Indexing
638,Describe the Insertion and Deletion Operations in B+ trees. [5+5],DBMS,408,B+ Trees
639,How does Extendable hashing use a directory of buckets? How does it handles the insert and delete operations? [10] ---ooOoo---,DBMS,409,Static Hashing
640,"a) Part A is compulsory which carries 25 marks. Answer all questions in Part A. Part B consists of 5 Units. Answer any one full question from each unit. Each question carries 10 marks and may have a, b, c as sub questions. PART-A (25 Marks) What are five main functions of a database administrator? 2 List and explain the database system applications. 3 Define a trigger. What are the differences between row level and statement level triggers? 2 How are queries expressed in SQL? 3 List the benefits of BCNF and 3NF. 2 Write the Properties of Decompositions. 3 Why is recoverability of schedules desirable? 2 Suppose that there is a database system that never fails. Is a recovery manager required for this system? 3 How is data organized in a hash based index? 2 Give a brief note on Static Hashing. 3 PART -B (50 Marks) What is a partial key? How is it represented in ER diagram? Give an example. Define query. Explain the data manipulation language in detail. 5+5] Explain how to build ER model for university with entities department, instructor, student, and class. Instructors and students belong to one department only. Instructors and students related to a class with many to many relations. Assume suitable attributes. Explain how the ER model can be translated to relations. List and explain the design issues of entity relationship. [5+5] Consider the following schema instructor (ID, name, dept_name), teaches (ID, course_id, sec_id, semester, year), section (course_id, sec_id, semester, year), student (ID, name, dept_name), takes (ID, course_id, sec_id, semester, year, grade) Write the following queries in SQL",DBMS,377,BCNF
645,Make a comparison between the tuple relational calculus and domain re calculus. What are nested queries? What is correlation in nested queries? Explain. Discuss how schema refinement through dependency analysis and norma! can improve schemas obtained through ER design. F when it is in INF? Explain. Discuss about log based recovery with immediate update and deferred with suitable examples. ational 5+5] lization Why is a table whose primary key consists of a single attribute automatically in,DBMS,344,Database design and ER diagrams
646,"update When a transaction is rolled back under timestamp ordering, it is assigned a new timestamp. Why can it not simply keep its old timestamp? Give a brief note on Indexed Sequential Access Methods. Make a comparison between the primary index and a secondary index. Where does a DBMS store persistent data? How does it bring data int 545] oO main memory for processing? What DBMS component reads and writes data from main memory, and what is the unit of I/O? ---00000--- www.jntuonline.com",DBMS,404,Primary Index
648,Write brief notes on altering tables and views. 3],DBMS,354,Introduction to views
649,Describe about outer join. 2),DBMS,356,Relational algebra
650,What is meant by nested queries? 3],DBMS,362,Nested queries
651,What is second normal form? 2),DBMS,375,Second normal form
653,What is meant by buffer management? 2],DBMS,398,Buffer management
654,What is meant by remote backup system? 3],DBMS,399,Failure with loss of non-volatile storage
655,Discuss about primary indexes. 2],DBMS,404,Primary Index
656,What is meant by linear hashing? 3] PART -B (50 Marks),DBMS,411,Linear Hashing
659,Explain Tuple relational calculus. 0,DBMS,357,Tuple relational calculus
660,Discuss about domain relational calculus. 0,DBMS,358,Domain relational calculus
661,What is meant by functional dependencies? Discuss about second normal form. 0,DBMS,375,Second normal form
662,Explain fourth normal form and BCNF. 0,DBMS,377,BCNF
663,What is meant by concurrency control? 0,DBMS,393,Concurrency control by timestamps
665,What is meant by extendable hashing? How it is different from linear hashing? 0,DBMS,411,Linear Hashing
